AMK Bus Interchange,53 Ang Mo Kio Avenue 3 S(569933),Bus Interchange,https://www.toilet.org.sg/gallery/300/4-star-toilet-amk-bus-interchange
Ang Mo Kio Bus Depot,Ang Mo Kio Street 52 S(569140),Bus Interchange,https://www.toilet.org.sg/gallery/404/4-star-toilet-ang-mo-kio-bus-depot
Bishan Bus Interchange,514 Bishan Street 13 S(570514),Bus Interchange,https://www.toilet.org.sg/gallery/286/3-star-toilet-bishan-bus-interchange
Harbourfront Bus Terminal,4 Seah Im Road S(099115),Bus Interchange,https://www.toilet.org.sg/gallery/302/4-star-toilet-harbourfront-bus-terminal
Kampong Bahru Bus Terminal,11A Spooner Road S(168795),Bus Interchange,https://www.toilet.org.sg/gallery/291/3-star-toilet-kampong-bahru-bus-terminal
Kent Ridge Bus Terminal,37B Clementi Road S(884005),Bus Interchange,https://www.toilet.org.sg/gallery/304/3-star-toilet-kent-ridge-bus-terminal
Queens Street Bus Terminal,Queens Street Bus Terminal S(884001),Bus Interchange,https://www.toilet.org.sg/gallery/313/3-star-toilet-queens-street-bus-interchange
Shenton Way Bus Terminal,31 Shenton Way S(079121),Bus Interchange,https://www.toilet.org.sg/gallery/292/4-star-toilet-shenton-way-bus-terminal
St. Michael's Bus Terminal,10 Whampoa Road S(327691),Bus Interchange,https://www.toilet.org.sg/gallery/293/3-star-toilet-st-michael-s-bus-terminal
Yio Chu Kang Bus Interchange,Ang Mo Kio Avenue 8 Singapore S(088401),Bus Interchange,https://www.toilet.org.sg/gallery/390/4-star-toilet-yio-chu-kang-bus-interchange
Seletar Country Club,101 Seletar Club Road S(798273),Club,https://www.toilet.org.sg/gallery/267/5-stars-seletar-country-club
Seletar Country Club (Ballroom),101 Seletar Club Road Singapore (798273),Club,https://www.toilet.org.sg/gallery/267/5-Stars-Seletar-Country-Club
Kopitiam @ 437 Fernvale Road,437 Fervale Road #01-01 S(790437),Coffeeshop,https://www.toilet.org.sg/gallery/438/3-Star-Toilet-Kopitiam-437-Fernvale-Road
NTUC Foodfare Court@Clifford Centre,Clifford Centre 24 Raffles Place S(048621),Foodcourt,https://www.toilet.org.sg/gallery/53/3-star-toilet-ntuc-foodfare-clifford-centre-food-emporium
Maritime and Port Authority of Singapore,460 Alexandra Road #18-00 S(119963),Government Office,https://www.toilet.org.sg/gallery/411/5-star-toilet-maritime-and-port-authority-of-singapore
PSA Tanjong Pagar Complex,7B Keppel Road #19 - #21 S(089054),Government Office,https://www.toilet.org.sg/gallery/63/4-star-toilet-psa-tanjong-pagar-complex
PSA Vista,20 Harbour Drive #08-00 S(117612),Government Office,https://www.toilet.org.sg/gallery/62/4-star-toilet-psa-vista
The URA Centre,45 Maxwell Road S(069118),Government Office,https://www.toilet.org.sg/gallery/406/5-star-toilet-the-ura-centre
210, Toa Payoh Lorong 8 Market & Hawker Centre,210 Lorong 8 Toa Payoh S(310210),Market & Food Centre,https://www.toilet.org.sg/gallery/379/4-star-toilet-toa-payoh-lorong-8-market-and-hawker-centre
Adam Road Food Centre,2 Adam Road S(289876),Market & Food Centre,https://www.toilet.org.sg/gallery/25/4-star-toilet-adam-road-food-centre
